pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2025-12-29,2025-12-30,test,1,0.891752,-0.2508,0.15,-0.4008,-6403.85,591361.91,1591361.91
2025-12-30,2025-12-31,test,3,0.851484,0.567833,0.15,0.417833,6649.24,598011.15,1598011.15
2025-12-31,2026-01-01,test,0,0.0,0.0,0.0,0.0,0.0,598011.15,1598011.15
2026-01-01,2026-01-02,test,5,0.837192,0.51462,0.15,0.36462,5826.67,603837.82,1603837.82
2026-01-02,2026-01-05,test,5,0.815484,0.26966,0.15,0.11966,1919.15,605756.97,1605756.97
2026-01-05,2026-01-06,test,1,0.809898,0.2625,0.15,0.1125,1806.48,607563.44,1607563.44
2026-01-06,2026-01-07,test,4,0.85291,0.4191,0.15,0.2691,4325.95,611889.4,1611889.4
2026-01-07,2026-01-08,test,2,0.832091,0.04365,0.15,-0.10635,-1714.24,610175.15,1610175.15
2026-01-08,2026-01-09,test,1,0.849514,6.087,0.15,5.937,95596.1,705771.25,1705771.25
2026-01-09,2026-01-12,test,1,0.883969,1.1545,0.15,1.0045,17134.47,722905.72,1722905.72
2026-01-12,2026-01-13,test,1,0.83652,0.5333,0.15,0.3833,6603.9,729509.62,1729509.62
2026-01-13,2026-01-14,test,1,0.859823,0.2778,0.15,0.1278,2210.31,731719.94,1731719.94
2026-01-14,2026-01-16,test,1,0.885413,0.1805,0.15,0.0305,528.17,732248.11,1732248.11
2026-01-16,2026-01-19,test,1,0.84712,0.0,0.15,-0.15,-2598.37,729649.74,1729649.74
2026-01-19,2026-01-20,test,1,0.866535,0.0944,0.15,-0.0556,-961.69,728688.05,1728688.05
2026-01-20,2026-01-21,test,1,0.844866,0.0,0.15,-0.15,-2593.03,726095.02,1726095.02
2026-01-21,2026-01-22,test,2,0.854976,3.8577,0.15,3.7077,63998.43,790093.45,1790093.45
2026-01-22,2026-01-23,test,10,0.825234,0.44062,0.15,0.29062,5202.37,795295.82,1795295.82
2026-01-23,2026-01-27,test,2,0.80637,0.07575,0.15,-0.07425,-1333.01,793962.81,1793962.81
2026-01-27,2026-01-28,test,12,0.835457,1.128525,0.15,0.978525,17554.37,811517.18,1811517.18
